"","Type","Author","Year","Title","Country","Region","Region2","Species.1","Species.2","Species.3","Species.4","Species.5","Species.6","Subthreat.1a","Subthreat.1b","Subthreat.1c","Subthreat.2a","Subthreat.2b","Subthreat.3a","Subthreat.3b","Subthreat.4","Subthreat.5","Threat.1","Threat.2","Threat.3","Threat.4","Threat.5"
"906","Otter Bulletin article","Chris Mason",1997,"Lecture held at the International Workshop: The Otter - Back in Switzerland again? 18.-19.6.1997, Möschberg, Switzerland. It summarises the effect of industrialization, typified by plastics production and subsequent levels of PCBs in the environment, and clearly shows the corelation with reduction in otter numbers. Across Europe, this relationship is found. The results for Wales and the Clydesdale area of Scotland are examined in detail and then related to national trends in the United Kingdom.","Europe","Europe & Central Asia","","Lutra lutra","","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"907","Otter Bulletin article","Lee Harding",1999,"Contaminants in Otter, Mink and Marten in British Colombia","Canada","North America","","Lontra canadensis","","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"908","Otter Bulletin article","",2001,"The River Otter (Lontra canadensis) in Clarcke County (Georgia, USA) - Survey, Food Habits and Environmental Factors","USA","North America","","Lontra canadensis","","","","","","Not specified","","","","","","","","","Pollution","","","",""
"909","Otter Bulletin article","Kate?ina Poledníková, Jitka V?trovcová, Lukáš Poledník, Václav Hlavá?",2010,"Carbofuran - A New and Effective Method of Illegal Killing of Otters (Lutra lutra) in the Czech Republic","Czech Republic","Europe & Central Asia","","Lutra lutra","","","","","","Agricultural & forestry effluent","","","","","","","","","Pollution","","","",""
"910","Otter Bulletin article","Charles Lemarchand, Rene Rosoux and Philippe Berny
",2011,"Ecotoxicology of the Eurasian Otter (Lutra lutra) along Loire River (France) and Predictable Trends due to Global Change
","France","Europe & Central Asia","","Lutra lutra","","","","","","Agricultural & forestry effluents","Industrial & military effluents","","","","","","","","Pollution","","","",""
"911","Otter Bulletin article","Gilberto Silva-López, María Remedios Mendoza-López, Jesús Samuel Cruz-Sánchez, Oscar García-Barradas, Gabriela López Suárez, Luis G. Abarca-Arenas, Francisco Gutiérrez-Mendieta and Armando Martínez Chacón",2012,"A Qualitative Assessment of Lontra longicaudis annectens Aquatic Habitats in Alvarado, Mexico","Mexico","Latin America & Caribbean","","Lontra longicaudis","","","","","","Industrial & military effluents","Agricultural & forestry effluents","","","","","","","","Pollution","","","",""
"912","SCC","",1990,"Colombian weasel threatened by mercury pollution?","Ecuador","Latin America & Caribbean","Latin America","Mustela felipei","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"913","SCC","",1991,"Badgers and otters – pesticides and pollution: A European perspective","Europe","Europe & Central Asia","Europe & Central Asia","Lutra lutra","Meles meles","","","","","Agricultural & forestry effluents","Industrial & military effluents","","","","","","","","Pollution","","","",""
"914","SCC","",2003,"The status of stoats and weasels in Britain","United Kingdom","Europe & Central Asia","Europe & Central Asia","Mustela nivalis","Mustela erminea","","","","","Agricultural & forestry effluents","","","","","","","","","Pollution","","","",""
"915","Otter Bulletin article","",2018,"Notes on Population Status and Feeding Behaviour of Asian Small-Clawed Otter (Aonyx cinereus) in the Sundarbans Mangrove Forest of Bangladesh","Bangladesh","South Asia","","Aonyx cinereus","","","","","","Not specified","","","","","","","","","Pollution","","","",""
"916","Journal Article","C. Skinner; P. Skinner; S. Harris",1991,"AN ANALYSIS OF SOME OF THE FACTORS AFFECTING THE CURRENT DISTRIBUTION OF BADGER MELES-MELES SETTS IN ESSEX","United Kingdom","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Housing & urban areas","","","Annual & perennial non-timber crops","","Roads & railroads","","","","Residential & commercial development","Agriculture & aquaculture","Transportation & service corridors","",""
"917","Journal Article","J. C. Doyle; D. W. Sample; L. Long; T. R. Van Deelen",2019,"Space Use and Habitat Selection of American Badgers (Taxidea Taxus) in Southwestern Wisconsin","USA","North America","North America","Taxidea taxus","","","","","","Housing & urban areas","","","Annual & perennial non-timber crops","","Roads & railroads","","","","Residential & commercial development","Agriculture & aquaculture","Transportation & service corridors","",""
"918","Otter Bulletin article","Xavier Gémillet",1993,"Field Survey of Lutra lutra on Corfu Island (Greece)","Greece","Europe & Central Asia","","Lutra lutra","","","","","","Tourism & recreation areas","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","Marine & freshwater aquaculture","","","","Residential & commercial development","Biological resource use","Agriculture & aquaculture","",""
"919","Journal Article","M. Bonamy; T. M. Herrmann; A. B. Harbicht",2020,"'I think it is the toughest animal in the North': human-wolverine interactions among hunters and trappers in the Canadian Northwest Territories","Canada","North America","North America","Gulo gulo","","","","","","Commercial & industrial areas","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","Recreational activities","","Fire & fire suppression","","Residential & commercial development","Biological resource use","Human intrusions & disturbance","Natural system modifications",""
"920","SCC","",1992,"Changes in the occupation of badger setts in the environs of vilnius within the last decade","Lithuania","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Housing & urban areas","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","Recreational activities","","","","Residential & commercial development","Biological resource use","Human intrusions & disturbance","",""
"921","Journal Article","J. Larroque; S. Ruette; J. M. Vandel; G. Queney; S. Devillard",2016,"Age and sex-dependent effects of landscape cover and trapping on the spatial genetic structure of the stone marten (Martes foina)","France","Europe & Central Asia","Europe & Central Asia","Martes foina","","","","","","Housing & urban areas","","","Hunting & trapping terrestrial animals (intentional & unintentional)","Logging & wood harvesting (intentional & unintentional)","Roads & railroads","","","","Residential & commercial development","Biological resource use","Transportation & service corridors","",""
"922","Otter Bulletin article","Christof Schenck and Eike Staib",1992,"Giant Otters in Peru","Peru","Latin America & Caribbean","","Pteronura brasiliensis","","","","","","Tourism & creation areas","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","","","Residential & commercial development","Biological resource use","","",""
"923","Journal Article","J. C. Ray; L. G. Poley; A. J. Magoun; C. L. B. Chetkiewicz; F. M. Southee; F. N. Dawson; C. Chenier",2018,"Modelling broad-scale wolverine occupancy in a remote boreal region using multi-year aerial survey data","Canada","North America","North America","Gulo gulo","","","","","","Unspecified","","","Habitat shifting & alteration","","","","","","Residential & commercial development","Climate change & severe weather","","",""
"924","Journal Article","J. T. Fisher; S. Bradbury; B. Anholt; L. Nolan; L. Roy; J. P. Volpe; M. Wheatley",2013,"Wolverines (Gulo gulo luscus) on the Rocky Mountain slopes: natural heterogeneity and landscape alteration as predictors of distribution","Canada","North America","North America","Gulo gulo","","","","","","Unspecified","","","Oil & gas drilling","","Logging & wood harvesting (intentional & unintentional)","","","","Residential & commercial development","Energy production & mining","Biological resource use","",""
"925","Journal Article","C. J. Johnson; M. S. Boyce; R. L. Case; H. D. Cluff; R. J. Gau; A. Gunn; R. Mulders",2005,"Cumulativ eeffects of human developments on arctic wildlife","Canada","North America","North America","Gulo gulo","","","","","","Unspecified","","","Oil & gas drilling","","Recreational activities","","","","Residential & commercial development","Energy production & mining","Human intrusions & disturbance","",""
"926","Journal Article","F. E. C. Stewart; N. A. Heim; A. P. Clevenger; J. Paczkowski; J. P. Volpe; J. T. Fisher",2016,"Wolverine behavior varies spatially with anthropogenic footprint: implications for conservation and inferences about declines","Canada","North America","North America","Gulo gulo","","","","","","Commercial & industrial areas","","","Oil & gas drilling","","Roads & railroads","","Logging & wood harvesting (intentional & unintentional)","","Residential & commercial development","Energy production & mining","Transportation & service corridors","Biological resource use",""
"927","Journal Article","R. May; A. Landa; J. van Dijk; J. D. C. Linnell; R. Andersen",2006,"Impact of infrastructure on habitat selection of wolverines Gulo gulo","Scandinavia","Europe & Central Asia","Europe & Central Asia","Gulo gulo","","","","","","Unspecified","","","Unspecified","","Roads & railroads","","","","Residential & commercial development","Human intrusions & disturbance","Transportation & service corridors","",""
"928","Journal Article","N. Heim; J. T. Fisher; J. Volpe; A. P. Clevenger; J. Paczkowski",2019,"Carnivore community response to anthropogenic landscape change: species-specificity foils generalizations","Canada","North America","North America","Gulo gulo","Martes americana","","","","","Industrial & military effluents","","","Unspecified","","Roads & railroads","","","","Residential & commercial development","Human intrusions & disturbance","Transportation & service corridors","",""
"929","Journal Article","J. J. Gomez; J. I. Tunez; N. Fracassi; M. H. Cassini",2014,"Habitat suitability and anthropogenic correlates of Neotropical river otter (Lontra longicaudis) distribution","South America","Latin America & Caribbean","Latin America","Lontra longicaudis","","","","","","Housing & urban areas","","","Other ","","","","","","Residential & commercial development","Human intrusions & disturbance","","",""
"930","Journal Article","M. B. Aued; C. Chehebar; G. Porro; D. W. Macdonald; M. H. Cassini",2003,"Environmental correlates of the distribution of southern river otters Lontra provocax at different ecological scales","Argentina","Latin America & Caribbean","Latin America","Lontra provocax","","","","","","Unspecified","","","Invasive non-native/alien species/diseases","","","","","","Residential & commercial development","Invasive & other problematic species, genes & diseases","","",""
"931","Journal Article","N. Sivasothi; B. H. M. Nor",1994,"A REVIEW OF OTTERS (CARNIVORA, MUSTELIDAE, Lutrinae sp.) IN MALAYSIA AND SINGAPORE","Malaysia / Singapore","East Asia & Pacific","East Asia","Lutra lutra","Lutra sumatrana","Lutrogale perspicillata","","Aonyx cinereus","","Commercial & industrial areas","","","Unspecified (habitat destruction)","","Unspecified","","","","Residential & commercial development","Natural system modifications","Pollution","",""
"932","Journal Article","K. Van Looy; C. Cavillon; T. Tormos; J. Piffady; P. Landry; Y. Souchon",2013,"A scale-sensitive connectivity analysis to identify ecological networks and conservation value in river networks","France","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Unspecified","","","Other ecosystem modifications","","","","","","Residential & commercial development","Natural system modifications","","",""
"933","Otter Bulletin article","David T. Rowe-Rowe",1990,"Otter distribution and protection in South Africa","South Africa","Sub-Saharan Africa","","Hydrictis maculicollis","Aonyx capensis","","","","","Unspecified","","","Industrial & military effluents","","Livestock farming & ranching","","","","Residential & commercial development","Pollution","Agriculture & aquaculture","",""
"934","Journal Article","L. F. Ruggiero; K. S. McKelvey; K. B. Aubry; J. P. Copeland; D. H. Pletscher; I. G. Hornocker",2007,"Wolverine conservation and management","USA / Canada","North America","North America","Gulo gulo","","","","","","Unspecified","","","Roads & railroads","","Logging & wood harvesting (intentional & unintentional)","","Recreational activities","Habitat shifting & alteration","Residential & commercial development","Transportation & service corridors","Biological resource use","Human intrusions & disturbance","Climate change & severe weather"
